Name,Category,Sub-Category,Location,Website,Etsy,Instagram,Ships Internationally,Notes
Līvāni Glass and Crafts Centre,Pottery/Glass,Glassblowing & ceramics,Līvāni / Latgale,https://www.livanustikls.lv/en/,,,No (workshop),Latvia's only open glassblowing studio
I. Žagata Pottery "Cepļi",Pottery,Traditional Vidzeme pottery,Vidzeme,https://www.latvia.travel/en/sight/izagatas-pottery-workshop-cepli,,,By arrangement,Open since 1985
Tines,Textiles,Ethnographic mittens / socks / sweaters,Riga,https://tines.lv,,,Yes,Largest Latvian mitten selection
Hobbywool,Textiles,Mitten knitting kits / yarn / finished items,Riga Old Town,https://hobbywool.com,https://www.etsy.com/shop/HobbywoolRiga,@hobbywool,Yes,"Knit Like a Latvian" kits
MittensSocksShop,Textiles,Hand-knit wool mittens & socks,Latvia,,https://www.etsy.com/shop/MittensSocksShop,,Yes,Etsy Star Seller; wholesale available
Studio Natural (Laima Kaugure),Textiles,Hand-woven linen clothing / scarves,Riga,https://studionatural.lv,,@studionatural.lv,Yes,Worked with Calvin Klein / Armani
ETMO Gallery,Textiles,Hand-woven scarves / linen / glass,Riga Old Town,https://etmo.lv,,,Likely,Woven on 1930s looms
Linenbee,Textiles,Linen bedding / towels / clothing,Latvia (countryside),https://linenbee.com,,,Yes,Mother-daughter studio
Linen Room Latvia,Textiles,Handwoven linen bed linen / tablecloths,Latvia,https://linenroomlatvia.com,,,Yes,
LM-linen,Textiles,Linen tablecloths / napkins / scarves,Latvia,https://lm-linen.com,,,Check site,
BaltaisVilks,Textiles,Contemporary linen apparel,Latvia,https://baltaisvilks.com,,,Yes,
Senā Klēts,Textiles/Guild,Folk costumes / mittens / blankets / jewelry,Riga (Rātslaukums 1),https://www.senaklets.lv/eng.php,,,Limited,70+ national costumes on display
Katram Savu Tautastērpu,Textiles,Custom regional folk costumes,Latvia,https://katramsavutautasterpu.lv,,,By order,All 5 Latvian regions
Baltu Rotas,Metalwork/Jewelry,Ancient Baltic jewelry replicas,Sigulda / Vidzeme,https://balturotas.lv,https://www.etsy.com/shop/BalticJewelryLatvia,,Yes,Namejs rings / saktas / sun brooches
GreenCoastJewelry / Skaista Rota,Metalwork/Jewelry,Handcrafted silver/bronze rings & saktas,Riga,,https://www.etsy.com/shop/GreenCoastJewelry,,Yes,30+ years experience
SecretJewelryDesigns,Metalwork/Jewelry,Silver/bronze Baltic symbol pendants,Latvia,,https://www.etsy.com/shop/SecretJewelryDesigns,,Yes,Etsy Star Seller; ~250 items
WitchJewelryShop / Raganu Rotas,Metalwork/Jewelry,Bronze/silver with Latvian rune designs,Riga,,https://www.etsy.com/shop/WitchJewelryShop,@raganurotas,Yes,Etsy Star Seller; eco-bronze
VERBA (Anna Fanigina),Metalwork/Jewelry,Contemporary jewelry / Latin inscriptions,Riga,https://www.verba.lv,,@verba_jewellery,Yes,Also sold via miutto.com
Andris Lauders,Metalwork/Jewelry,Art jewelry / gold & silver,Riga,https://lauders.lv,,,Yes (via 1stDibs),Also at Designers 5 store
Laura Selecka / Sofia Riga,Metalwork/Jewelry,Silver with porcelain & Murano glass,Riga,,,,Yes (via @work London),£180–285 range
City Amber,Metalwork/Jewelry,Handcrafted Baltic amber jewelry,Riga,https://cityamber.com,,,Yes,Sterling silver settings
Latvian Amber Store,Metalwork/Jewelry,Genuine handcrafted amber,Riga,https://latvianamberstore.com,,,Yes,
BalticFlames (Reinis Pettersson),Metalwork/Blacksmith,Hand-forged nails / hooks / Viking pendants,Riga,,https://www.etsy.com/shop/BalticFlames,,Yes,LAK certified
Sun Hill Forge,Metalwork/Blacksmith,Forged household items / ethnographic jewelry,Northern Latvia (rural),https://sun-hill.art,,@sunhill_forge,Yes,Family-run
John Neeman / Autine Tools,Metalwork/Blacksmith,Hand-forged axes / chisels / drawknives,Latvia,https://www.johnneeman.com,,,Yes,Lifetime warranty; world-class
Northmen Guild,Metalwork/Blacksmith,Artisan tools / knives / bows / leather,Latvia,https://northmen.com,,,Yes,Also offers courses
Gatis Pīpkalējs / Smede.lv,Metalwork/Blacksmith,Coin minting / ethnographic items,Salacgriva / Vidzeme,https://smede.lv,,,By arrangement,LAK certified
Jānis Straupe,Woodwork,Sculptural furniture & installations,Riga,https://straupe.com,,,Yes (via 1stDibs),Latvia's top wood artist
LatvianWoodArtisan,Woodwork,Reclaimed-wood furniture / mosaics,Latvia,,https://www.etsy.com/shop/latvianwoodartisan,,Yes,
BAWOOD,Woodwork,Serving trays / cutting boards,Launkalne / Latvia,,https://www.etsy.com/shop/BAwoodLV,,Yes,
WOODBOX.LV,Woodwork,Cutting boards / bread boards / gift boxes,Latvia,https://woodbox.lv,,,Yes,Custom orders up to 100k units
Mārtiņa Koku Fabrika,Woodwork,Ancient Latvian signs carved in wood,Talsi / Kurzeme,https://visittalsi.com (listing),,,Yes,
Lotes Toys,Woodwork/Toys,Handmade wooden toys (ash wood / natural wax),Latvia,https://lotestoys.com,,,Yes,No paint or chemicals
KlikKlakBlocks,Woodwork/Toys,Alphabet blocks / personalized baby items,Valmiera / Vidzeme,https://klikklakblocks.com,https://www.etsy.com/shop/KlikKlakBlocks,,Yes,Etsy Star Seller; ash wood + beeswax
KIKIMO Toys,Woodwork/Toys,Montessori eco-friendly wooden toys,Latvia,https://kikimotoys.com,,,Yes,
TapintoysShop,Woodwork/Toys,Montessori educational toys,Latvia,,https://www.etsy.com/shop/TapintoysShop,,Yes,
Vienkoču Park (Rihards Vidzickis),Woodwork/Museum,Woodcraft museum / log-boat techniques,Līgatne / Vidzeme,https://vienkoci.lv/en/woodcraft-museum,,,No (museum/workshop),Triple LAK diploma holder
Lāči Bakery,Food,Brick-oven rye bread (organic),Near Riga,https://www.lacibakery.lv,,,Yes (via BalticShop.com),Air cargo from Riga
Kurland Honey,Food,Raw honey cooperative (13 beekeepers),Kurzeme,https://kurlandhoney.com,,,Yes,~175 tons/year exported
Eberlin's Apiary,Food,Raw honey / propolis (family since 1857),Latvia,https://www.en.eberlinudrava.lv/,,,Yes (bulk EU + non-EU),
SOIRA,Food,Artisan cheese (20+ varieties daily),Near Ādaži / Riga,https://www.soira.lv/,,,Unknown,Latvia's smallest cheese factory
Labietis,Food/Beverage,Craft beer / mead / braggot with local herbs,Riga,https://labietis.lv,,@labietis,Limited,80+ beers; heather / berries / honey
Ārpus Brewing,Food/Beverage,Craft beer (juicy hops / sours / stouts),Saurieši / near Riga,https://arpusbrewing.co,,@arpusbrewing,Limited,Top-rated on Untappd
Valmiermuižas Alus,Food/Beverage,Unpasteurized craft beer,Valmiermuiža / Vidzeme,https://valmiermuiza.lv,,,Limited,Also stocks 200+ small Latvian beers
RUDOLFS (Lat Eko Food),Food,Organic preserves / syrups,Latvia,https://rudolfs.eu,,,Yes (EU / USA / NZ / Israel),
Studija Pienene,Food,Organic herbal teas / flower teas / berry teas,Latvia,https://studijapienene.lv,,,Yes (online shop),
Fermentful,Food/Beverage,Fermented buckwheat drinks (dairy-free kefir),Riga,https://fermentful.com,,,Yes (Scandinavia / Central EU),
RIIJA,Guild/Marketplace,100+ Latvian designers (linen / ceramics / furniture),Riga (Tērbatas 6/8),https://riija.lv,,,Yes,Key aggregator store
M50,Guild/Marketplace,100+ Latvian designers (clothing / jewelry / ceramics),Riga (Miera iela),https://m50.lv,,,Yes,
Designers 5,Guild/Marketplace,Art jewelry by 5 top Latvian designers,Riga (Tērbatas 85),https://designers5.com,,,In-store only,Meet-the-maker concept
Miesai,Guild/Marketplace,Minimalist Latvian design,Riga (Gertrudes 121),https://miesai.com,,,Yes,
Latvian Chamber of Crafts (LAK),Guild/Directory,Official registry of certified master craftsmen,Latvia-wide,https://www.lak.lv/pub/?id=548&tips=1,,,N/A (directory),60+ craft categories; 100s of artisans
TourDeCrafts,Guild/Directory,EU Interreg artisan directory (Latvia-Lithuania),Latgale focus,https://www.tourdecrafts.eu,,,N/A (directory),Profiles with contact info
Latvian Jewellery Art Association,Guild/Association,~25 professional jewelry artists,Latvia-wide,https://latvianjewellery.org,,,N/A (directory),Organizes exhibitions
Latvian Folk Art Union (anaZana),Guild/Association,Folk art fairs / Song Festival crafts,Latvia-wide,http://tautasmaksla.lv/en/,,,N/A (directory),Member of European Folk Art Federation
Intangible Cultural Heritage Portal,Guild/Directory,40+ recognized heritage crafts,Latvia-wide,https://nematerialakultura.lv,,,N/A (directory),Belt-weaving / lace / glass / mittens
Kalnciema Quarter Market,Guild/Market,Weekly Saturday artisan market,Riga (Kalnciema 35),https://kalnciemaiela.lv,,,N/A (market),Year-round Saturdays 10:00–16:00
Ethnographic Open-Air Museum,Guild/Market,Annual folk art fair (350+ artisans),Riga outskirts,http://brivdabasmuzejs.lv,,,N/A (market),First weekend of June since 1971
BalticShop.com,Guild/Online Aggregator,Latvian food shipped to USA,N/A (online),https://www.balticshop.com,,,Yes (USA),Air cargo from Riga
BalticGifts.com,Guild/Online Aggregator,Jewelry / amber / cheese / crafts,N/A (online),https://www.balticgifts.com,,,Yes (worldwide DPD/DHL),
Celotajs.lv,Guild/Directory,Farm & food producer profiles,Latvia-wide,https://www.celotajs.lv/en/c/wrth/goodies/foodproducer,,,N/A (directory),Organized by product type
LatvianFoods.eu,Guild/Directory,225 member food companies,Latvia-wide,https://latvianfoods.eu,,,N/A (B2B directory),Official LIAA platform
Artizan Made,Guild/Online Marketplace,Handmade collective (Latvia section),International,https://www.artizanmade.com/product-category/provenance/europe/latvia/,,,Yes,Curated handmade from Latvia
Ludza Crafts Centre,Guild/Craft Centre,100+ craftsmen / pottery / weaving / markets,Ludza / Latgale,https://www.latvia.travel/en/sight/ludza-crafts-centre,,,N/A (centre),Organizes Great Latgalian Market
Krāslava Crafts Centre,Guild/Craft Centre,Pottery / woodwork / weaving / culinary,Krāslava / Latgale,https://www.tourdecrafts.eu/lv/amatnieks/kraslavas-amatniecibas-centrs/,,,N/A (centre),In Count Plāter's 18th-century castle
Alsunga Craft House,Guild/Craft Centre,Suiti textile tradition (UNESCO),Alsunga / Kurzeme,https://ich.unesco.org/en/USL/suiti-cultural-space-00314,,,N/A (centre),Bright woolen shawls
Ventspils House of Crafts,Guild/Craft Centre,Multi-craft workshops,Ventspils / Kurzeme,https://www.latvia.travel/en/latvian-crafts (listing),,,N/A (centre),
Dobele Craft House,Guild/Craft Centre,Textile workshops / belt weaving,Dobele / Zemgale,https://www.latvia.travel/en/latvian-crafts (listing),,,N/A (centre),
